rank,coin,symbol,market_cap,price,supply,volume_24h,pct_1h,pct_24h,pct_7d
1,Bitcoin,BTC,546001594838.0,29374.15,18587825.0,40730301359.0,0.0016,0.0128,0.1909
2,Ethereum,ETH,83318539689.0,730.37,114077546.0,13652004358.0,0.0001,-0.0101,0.166
3,Tether,USDT,21116011795.0,1.0,21075636250.0,60509986287.0,0.0,0.0013,0.0017000000000000001
4,XRP,XRP,10780931627.0,0.2374,45404028640.0,5888429287.0,-0.0054,0.0801,-0.2535
5,Litecoin,LTC,8358909486.0,126.23,66219493.0,7326980728.0,0.0009,0.0124,-0.0059
6,Polkadot,DOT,7442884318.0,8.31,895996963.0,2791211123.0,0.005600000000000001,-0.1061,0.5931000000000001
7,Bitcoin Cash,BCH,6361227989.0,341.99,18600863.0,3490086847.0,0.0048,-0.0031,0.07429999999999999
8,Cardano,ADA,5455571953.0,0.1753,31112484646.0,1122218004.0,-0.0026,-0.0333,0.11289999999999999
9,Binance Coin,BNB,5473732252.0,37.91,144406561.0,459165743.0,0.0074,0.014199999999999999,0.1429
10,Chainlink,LINK,4737262864.0,11.87,399009556.0,1376173841.0,-0.0046,0.053399999999999996,0.0282
11,USD Coin,USDC,4029299602.0,0.9998,4030011965.0,944050095.0,-0.0001,0.0,-0.0004
12,Wrapped Bitcoin,WBTC,3396051534.0,29349.44,115711.0,73396342.0,0.0014000000000000002,0.0128,0.1905
13,Bitcoin SV,BSV,3036168624.0,163.12,18613577.0,309676885.0,-0.0027,-0.0032,-0.0138
14,Stellar,XLM,2901669479.0,0.1324,21914610150.0,493194345.0,-0.0104,0.0315,-0.1322
15,EOS,EOS,2474974459.0,2.64,939112807.0,2202334583.0,0.0014000000000000002,0.0144,-0.0095
16,Monero,XMR,2421861836.0,136.05,17801805.0,1946205729.0,0.0165,-0.1311,-0.1458
17,NEM,XEM,2001052266.0,0.2223,8999999999.0,194318115.0,-0.0302,0.08710000000000001,-0.0886
18,THETA,THETA,1971477308.0,1.97,1000000000.0,376954102.0,-0.0404,0.0593,0.5354
19,TRON,TRX,1930480208.0,0.02694,71659657369.0,740550356.0,0.0016,0.004,-0.0547
20,Tezos,XTZ,1517456361.0,2.01,755359530.0,177515579.0,-0.0086,-0.0031,-0.0092
21,Crypto.com Coin,CRO,1339044331.0,0.05959,22472146117.0,39231284.0,0.0091,0.0181,0.0271
22,UNUS SED LEO,LEO,1355725603.0,1.36,999498893.0,11099707.0,-0.0002,-0.0014000000000000002,-0.0017000000000000001
23,Celsius,CEL,1306280841.0,5.47,238863520.0,11705056.0,-0.0045000000000000005,0.0021,0.4361
24,Uniswap,UNI,1273682448.0,4.74,268922183.0,840105754.0,-0.0044,-0.0836,0.3518
25,Cosmos,ATOM,1221517404.0,5.87,208146170.0,492387732.0,-0.0070999999999999995,-0.0962,0.19399999999999998
26,VeChain,VET,1227148151.0,0.01908,64315576989.0,216206840.0,0.0004,0.0161,0.3084
27,Dai,DAI,1207045952.0,1.0,1201654203.0,278153536.0,-0.0005,0.0007000000000000001,0.0014000000000000002
28,Aave,AAVE,1087592822.0,90.35,12037596.0,202515779.0,0.0183,0.0322,0.1323
29,Binance USD,BUSD,1077268493.0,1.0,1077160777.0,1019539386.0,-0.0001,-0.0004,0.0002
30,Huobi Token,HT,1038763320.0,5.19,200076194.0,354009621.0,0.018799999999999997,0.1877,0.2848
31,Neo,NEO,1022932434.0,14.5,70538831.0,346481684.0,0.0019,0.0129,-0.0435
32,Filecoin,FIL,993826959.0,22.29,44584205.0,348030664.0,-0.0152,-0.08470000000000001,-0.0848
33,Revain,REV,993269895.0,0.01168,85061485690.0,7399772.0,0.0009,0.0026,0.0016
34,Synthetix,SNX,923897164.0,8.36,110519345.0,135714855.0,-0.0172,0.1573,0.1348
35,Dash,DASH,873563642.0,88.24,9899669.0,853438257.0,-0.0055000000000000005,-0.11410000000000001,-0.14529999999999998
36,Zilliqa,ZIL,854140015.0,0.07908,10801581328.0,337219783.0,-0.0026,-0.0433,0.25
37,IOTA,MIOTA,809809748.0,0.2913,2779530283.0,15791601.0,-0.0059,-0.0187,-0.0005
38,Dogecoin,DOGE,726323311.0,0.005685,127762182511.0,228961515.0,0.0472,0.21420000000000003,0.2407
39,Ethereum Classic,ETC,663491552.0,5.7,116313299.0,556639553.0,0.0007000000000000001,0.004699999999999999,-0.008100000000000001
40,yearn.finance,YFI,656372549.0,21901.97,29969.0,265921787.0,-0.0091,-0.0368,-0.0759
41,Compound,COMP,641940432.0,145.39,4415268.0,176867845.0,0.0092,-0.03,0.0542
42,Waves,WAVES,623950151.0,6.0,103952116.0,97247240.0,-0.0006,-0.0325,-0.09849999999999999
43,Zcash,ZEC,614377756.0,56.79,10817875.0,712504295.0,-0.017,-0.1125,-0.0862
44,SushiSwap,SUSHI,593611623.0,3.33,178203345.0,393919495.0,0.051699999999999996,0.1635,0.31679999999999997
45,Kusama,KSM,588670118.0,69.5,8470098.0,111001467.0,0.0182,-0.0342,0.3925
46,Maker,MKR,580549443.0,582.22,997127.0,43374809.0,0.0048,-0.008100000000000001,0.09699999999999999
47,OKB,OKB,552615022.0,9.21,60000000.0,305072781.0,-0.0001,0.184,0.49579999999999996
48,FTX Token,FTT,549193881.0,5.82,94346958.0,11885409.0,0.0028000000000000004,0.0084,0.18170000000000003
49,Decred,DCR,511205596.0,41.11,12435693.0,10830453.0,0.0028000000000000004,0.008100000000000001,0.1268
50,Algorand,ALGO,475506414.0,0.3981,1194352298.0,341885747.0,-0.0191,0.19190000000000002,0.2853
51,The Graph,GRT,452446965.0,0.3632,1245666867.0,142234681.0,0.0206,0.0374,0.016200000000000003
52,UMA,UMA,439970124.0,7.93,55506671.0,15578993.0,-0.0033,0.0371,-0.0207
53,renBTC,RENBTC,387297468.0,29350.68,13196.0,5233862.0,0.0016,0.012,0.18989999999999999
54,Elrond,EGLD,383022212.0,26.07,14694862.0,45807755.0,0.0038,0.057999999999999996,0.1367
55,DigiByte,DGB,369107372.0,0.02656,13899209798.0,18514648.0,-0.0104,0.0634,0.311
56,Ontology,ONT,361305140.0,0.4491,804535798.0,79296058.0,-0.0021,0.018799999999999997,-0.006500000000000001
57,OMG Network,OMG,350828502.0,2.5,140245398.0,194121720.0,-0.0036,0.0213,-0.0315
58,Nexo,NEXO,325476030.0,0.5812,560000011.0,10380152.0,0.0003,0.0472,0.0146
59,Terra,LUNA,315256090.0,0.6494,485425455.0,16190074.0,-0.0128,-0.004699999999999999,0.20670000000000002
60,Basic Attention Token,BAT,306166460.0,0.2051,1492580869.0,134658072.0,0.0008,0.0274,-0.042300000000000004
61,Blockstack,STX,306337505.0,0.4303,711834032.0,7894633.0,0.030299999999999997,0.0863,0.4202
62,BitTorrent,BTT,291092585.0,0.000294,989980327999.0,66196912.0,0.0013,0.0189,-0.0417
63,Ren,REN,280418867.0,0.317,884532525.0,58223435.0,0.0083,-0.0134,0.17600000000000002
64,Avalanche,AVAX,281960683.0,3.66,76937055.0,81260736.0,-0.0076,0.16879999999999998,0.2403
65,0x,ZRX,281143279.0,0.375,749772094.0,44535777.0,0.0241,0.058499999999999996,0.0466
66,TrueUSD,TUSD,275047239.0,1.0,275031537.0,91972447.0,0.0,0.0008,0.0
